;Product Progress;Logins;Start Date;Last Activity At;Days Lapsed;Months Lapsed
194;45;160;2018-04-30;2021-07-27;169.14;42.28
195;3;4;2018-05-08;2018-05-31;3.29;0.82
196;92;323;2018-05-07;2023-05-17;262.29;65.57
197;47;295;2018-04-29;2023-03-02;252.57;63.14
198;41;436;2018-07-18;2023-03-21;243.86;60.96
199;29;104;2018-05-08;2021-05-06;156.29;39.07
201;71;186;2018-04-29;2023-03-19;255.0;63.75
202;62;116;2018-06-10;2023-04-29;254.86;63.72
203;9;36;2019-03-16;2022-01-09;147.14;36.78
204;86;75;2018-04-30;2021-04-02;152.57;38.14
205;8;151;2018-05-02;2022-06-09;214.14;53.54
206;38;159;2018-05-27;2023-05-17;259.43;64.86
207;82;85;2018-05-09;2019-06-15;57.43;14.36
208;49;316;2018-04-29;2023-03-17;254.71;63.68
209;6;22;2019-03-18;2021-12-28;145.14;36.28
210;19;85;2018-09-10;2022-10-30;215.86;53.96
212;48;158;2018-04-29;2023-03-14;254.29;63.57
213;92;224;2018-05-06;2019-12-15;84.0;21.0
214;98;274;2018-04-29;2023-02-16;250.57;62.64
215;71;329;2018-05-05;2023-04-27;259.71;64.93
216;5;55;2019-04-24;2021-03-04;97.14;24.28
217;88;203;2018-05-04;2022-07-04;217.43;54.36
218;99;152;2018-04-29;2022-04-19;207.29;51.82
219;15;92;2018-07-31;2020-05-26;95.0;23.75
220;95;147;2019-02-25;2023-03-18;211.71;52.93
221;75;126;2018-04-30;2019-09-29;73.86;18.46
222;94;233;2019-06-23;2023-04-27;200.57;50.14
223;48;152;2018-05-03;2023-05-01;260.57;65.14
224;41;170;2018-05-11;2022-02-11;196.0;49.0
225;75;275;2018-09-17;2021-01-10;120.86;30.22
226;20;422;2019-01-07;2023-05-16;227.14;56.78
227;79;151;2020-10-05;2023-03-29;129.29;32.32
228;71;627;2018-05-02;2023-05-03;261.0;65.25
229;52;113;2018-04-30;2023-01-01;243.86;60.96
230;6;44;2018-04-29;2020-05-08;105.71;26.43
231;92;138;2018-04-29;2021-12-17;189.71;47.43
232;30;30;2018-09-03;2018-11-05;9.0;2.25
233;88;109;2018-09-03;2019-05-30;38.43;9.61
236;66;190;2018-05-04;2023-03-14;253.57;63.39
237;65;156;2018-09-10;2021-04-15;135.43;33.86
238;90;142;2018-04-29;2020-10-22;129.57;32.39
239;96;759;2018-04-30;2023-05-06;261.71;65.43
240;62;225;2018-04-29;2023-05-08;262.14;65.54
241;20;72;2018-09-13;2019-02-28;24.0;6.0
242;93;125;2018-05-01;2023-03-12;253.71;63.43
243;47;68;2018-05-10;2020-05-03;103.43;25.86
244;83;82;2018-05-02;2019-07-23;63.86;15.96
245;73;157;2018-09-03;2022-08-13;205.71;51.43
246;2;100;2018-10-03;2022-01-23;172.57;43.14
247;86;114;2018-04-30;2019-04-09;49.14;12.28
248;27;374;2018-06-18;2023-05-14;255.86;63.96
249;93;114;2018-09-04;2023-02-26;233.71;58.43
250;6;17;2020-09-14;2021-03-21;26.86;6.72
251;23;141;2020-11-21;2022-01-29;62.0;15.5
252;52;109;2018-05-17;2019-07-22;61.57;15.39
253;17;25;2018-04-30;2019-08-28;69.29;17.32
255;3;82;2018-04-29;2022-04-17;207.0;51.75
256;9;15;2019-10-20;2020-06-10;33.43;8.36
259;81;322;2018-05-02;2020-05-12;105.86;26.46
260;60;94;2019-07-15;2021-07-11;103.86;25.96
261;27;176;2018-05-06;2022-10-14;231.71;57.93
262;87;120;2018-05-12;2019-06-09;56.14;14.04
263;24;200;2018-05-06;2022-01-21;193.71;48.43
264;4;54;2018-04-29;2022-10-18;233.29;58.32
265;11;75;2018-05-06;2022-09-18;228.0;57.0
266;49;68;2019-04-29;2022-02-22;147.14;36.78
267;32;111;2018-09-04;2023-05-05;243.43;60.86
268;95;107;2018-05-27;2020-12-03;131.57;32.89
269;80;219;2018-04-30;2021-03-07;148.86;37.22
270;69;227;2018-04-29;2023-04-14;258.71;64.68
272;91;449;2018-04-29;2023-05-04;261.57;65.39
273;24;56;2019-04-04;2020-04-22;54.86;13.72
274;73;221;2018-05-14;2021-04-14;152.29;38.07
275;40;125;2018-06-05;2019-06-16;53.71;13.43
276;21;65;2018-05-06;2020-11-17;132.29;33.07
277;60;202;2018-05-02;2020-11-24;133.86;33.47
278;96;225;2018-09-04;2023-02-26;233.71;58.43
280;81;85;2018-05-04;2019-05-09;52.86;13.22
281;66;272;2018-04-29;2019-12-29;87.0;21.75
282;54;385;2018-04-29;2018-11-16;28.71;7.18
283;5;119;2019-07-27;2023-05-16;198.43;49.61
284;78;178;2018-05-01;2023-04-16;258.71;64.68
285;7;128;2018-05-02;2023-05-02;260.86;65.22
286;51;95;2018-05-03;2022-12-05;239.57;59.89
287;97;118;2018-05-06;2019-05-31;55.71;13.93
288;1;36;2018-08-20;2018-10-01;6.0;1.5
289;50;129;2018-09-03;2023-03-19;236.86;59.22
290;81;312;2020-05-19;2023-05-13;155.57;38.89
291;9;94;2022-11-14;2022-12-31;6.71;1.68
293;87;198;2019-12-22;2023-01-02;158.14;39.53
294;34;104;2019-07-21;2022-12-21;178.43;44.61
295;14;8;2018-09-21;2019-09-11;50.71;12.68
296;73;160;2018-06-04;2022-05-24;207.14;51.78
297;55;228;2021-01-08;2023-04-15;118.14;29.54
298;92;413;2018-04-29;2023-04-26;260.43;65.11
299;95;204;2018-04-29;2023-04-27;260.57;65.14
300;87;395;2018-05-02;2023-03-17;254.29;63.57
301;86;229;2018-08-21;2021-07-10;150.57;37.64
302;91;104;2019-06-18;2022-12-08;181.29;45.32
303;47;76;2019-07-16;2022-10-24;170.86;42.72
304;52;581;2018-04-30;2021-09-30;178.43;44.61
305;96;140;2018-04-29;2021-04-30;156.71;39.18
307;93;122;2018-05-07;2022-10-17;232.0;58.0
308;10;159;2022-03-02;2023-04-26;60.0;15.0
310;3;45;2019-08-30;2019-09-18;2.71;0.68
311;32;60;2018-05-08;2021-08-10;170.0;42.5
312;69;699;2018-05-06;2020-04-20;102.14;25.54
313;32;266;2018-05-06;2023-04-13;257.57;64.39
314;61;93;2018-06-01;2022-01-05;187.71;46.93
315;26;293;2019-07-21;2023-05-04;197.57;49.39
316;29;59;2018-09-11;2022-04-19;188.0;47.0
317;20;112;2018-05-01;2022-09-09;227.43;56.86
319;79;173;2019-12-29;2023-03-29;169.43;42.36
320;84;204;2018-09-02;2023-01-18;228.43;57.11
321;76;522;2018-04-29;2022-08-05;222.71;55.68
322;2;43;2018-05-07;2021-03-15;149.0;37.25
323;68;136;2018-05-04;2021-03-10;148.71;37.18
324;5;54;2020-10-19;2023-05-06;132.71;33.18
325;12;48;2018-05-08;2018-06-26;7.0;1.75
326;15;130;2018-04-29;2018-09-10;19.14;4.78
327;9;64;2018-07-31;2021-04-27;143.0;35.75
328;94;81;2018-05-02;2020-04-28;103.86;25.96
329;96;127;2018-04-29;2022-09-30;230.71;57.68
330;26;119;2020-01-26;2022-03-04;109.71;27.43
331;59;107;2019-12-15;2022-03-28;119.14;29.78
332;51;149;2020-08-02;2023-01-08;127.0;31.75
333;15;38;2019-07-30;2020-03-09;31.86;7.96
335;87;107;2019-03-10;2023-05-02;216.29;54.07
336;25;182;2019-12-27;2023-04-22;173.14;43.28
337;34;284;2018-05-02;2023-05-17;263.0;65.75
338;14;53;2018-05-02;2019-07-31;65.0;16.25
340;95;114;2018-04-30;2019-07-07;61.86;15.46
341;49;99;2019-02-04;2022-10-20;193.43;48.36
342;92;106;2018-05-06;2022-11-20;237.0;59.25
343;4;20;2018-07-20;2018-07-20;0.0;0.0
344;26;40;2019-01-21;2020-01-05;49.86;12.46
345;95;165;2018-04-29;2021-04-11;154.0;38.5
347;89;153;2018-04-30;2021-03-27;151.71;37.93
348;100;367;2020-09-06;2023-05-09;139.29;34.82
349;95;270;2019-10-27;2023-05-16;185.29;46.32
350;18;181;2018-04-29;2023-05-17;263.43;65.86
351;92;78;2018-04-30;2022-12-16;241.57;60.39
352;26;49;2019-07-07;2023-05-13;200.86;50.22
353;3;91;2018-04-30;2023-03-29;256.29;64.07
355;5;32;2018-05-20;2022-01-31;193.14;48.28
356;38;135;2018-04-29;2019-07-29;65.14;16.28
357;90;265;2018-04-29;2023-03-27;256.14;64.04
358;8;38;2019-09-16;2022-03-10;129.43;32.36
359;94;488;2018-05-07;2023-05-17;262.29;65.57
360;77;206;2018-04-29;2023-05-11;262.57;65.64
361;96;196;2018-09-13;2021-09-06;155.57;38.89
362;70;243;2018-04-29;2022-05-02;209.14;52.28
363;35;47;2018-09-04;2021-12-01;169.14;42.28
364;24;116;2018-05-06;2023-04-07;256.71;64.18
365;41;49;2019-07-15;2020-07-24;53.57;13.39
366;95;85;2018-09-09;2019-10-21;58.14;14.54
367;98;320;2022-05-16;2023-04-13;47.43;11.86
368;75;285;2018-05-02;2021-12-22;190.0;47.5
369;92;59;2019-02-20;2020-04-14;59.86;14.96
370;39;72;2019-09-02;2020-02-25;25.14;6.28
373;60;217;2018-04-29;2023-03-17;254.71;63.68
374;14;22;2018-05-06;2020-03-26;98.57;24.64
375;97;283;2018-05-07;2023-04-14;257.57;64.39
376;23;61;2018-05-04;2022-10-13;231.86;57.96
377;13;56;2018-05-06;2020-04-19;102.0;25.5
378;23;111;2018-09-03;2021-05-02;138.86;34.72
379;75;133;2019-05-16;2023-03-10;199.14;49.78
380;12;75;2018-04-30;2020-04-19;102.86;25.72
381;1;7;2019-07-10;2019-10-16;14.0;3.5
382;13;87;2020-01-19;2022-01-26;105.43;26.36
383;7;16;2018-09-02;2018-09-16;2.0;0.5
384;57;99;2018-05-04;2018-10-03;21.71;5.43
385;47;73;2020-01-21;2020-09-20;34.71;8.68
386;13;61;2021-06-29;2023-04-26;95.14;23.78
388;90;181;2018-04-29;2020-09-22;125.29;31.32
389;10;38;2018-11-12;2020-10-05;99.0;24.75
390;8;45;2019-08-15;2019-09-02;2.57;0.64
391;10;18;2018-05-04;2021-09-29;177.71;44.43
392;36;123;2018-04-30;2023-04-22;259.71;64.93
393;41;86;2022-10-17;2023-04-26;27.29;6.82
394;65;221;2018-05-02;2021-06-02;161.0;40.25
395;30;105;2018-05-03;2023-03-24;255.14;63.78
396;25;74;2018-04-30;2022-08-01;222.0;55.5
397;9;57;2018-12-10;2019-09-10;39.14;9.78
398;58;128;2020-04-13;2022-12-03;137.71;34.43
399;98;111;2018-05-06;2019-05-31;55.71;13.93
400;51;60;2018-04-30;2020-04-02;100.43;25.11
401;52;688;2018-07-09;2023-05-16;253.14;63.28
403;92;270;2020-07-16;2023-05-17;147.86;36.97
404;21;68;2018-04-29;2022-02-15;198.29;49.57
405;31;72;2018-05-07;2019-01-31;38.43;9.61
406;51;113;2018-10-22;2019-10-01;49.14;12.28
407;93;214;2021-01-24;2022-07-12;76.29;19.07
408;91;161;2018-04-29;2020-07-14;115.29;28.82
409;8;40;2021-09-12;2023-05-16;87.29;21.82
410;58;89;2018-04-30;2019-05-11;53.71;13.43
411;30;43;2021-08-01;2022-05-26;42.57;10.64
412;52;272;2018-12-02;2023-04-24;229.14;57.28
413;1;48;2019-09-07;2022-11-09;165.57;41.39
414;22;72;2019-04-10;2023-05-11;213.14;53.28
416;25;77;2018-05-09;2022-09-04;225.57;56.39
417;52;182;2018-05-14;2022-06-19;213.86;53.46
418;34;283;2018-05-09;2023-05-10;261.0;65.25
419;71;264;2020-09-13;2023-02-04;124.86;31.22
420;53;132;2018-05-07;2020-11-03;130.14;32.53
421;98;412;2018-06-12;2023-03-11;247.57;61.89
422;55;159;2018-05-07;2022-05-04;208.29;52.07
424;7;138;2020-01-26;2023-03-10;162.71;40.68
425;4;23;2019-07-22;2019-07-26;0.57;0.14
426;68;319;2018-05-08;2023-01-06;243.43;60.86
427;5;53;2018-05-04;2023-05-11;261.86;65.46
428;30;230;2018-04-29;2023-05-17;263.43;65.86
429;95;603;2018-04-29;2019-10-11;75.71;18.93
430;12;83;2018-06-21;2022-11-02;227.86;56.96
431;15;161;2019-09-26;2023-04-18;185.71;46.43
432;10;107;2018-08-27;2023-05-03;244.29;61.07
433;11;42;2020-02-10;2022-07-12;126.14;31.54
434;87;260;2018-09-03;2022-10-03;213.0;53.25
435;13;89;2018-06-24;2023-05-12;254.71;63.68
436;50;181;2019-10-15;2021-03-28;75.71;18.93
437;84;420;2018-04-30;2023-05-10;262.29;65.57
438;75;337;2018-05-01;2023-03-03;252.43;63.11
439;96;178;2018-04-30;2022-10-24;234.0;58.5
440;99;433;2018-04-29;2022-09-15;228.57;57.14
441;57;72;2019-09-01;2022-12-07;170.43;42.61
442;80;119;2018-05-02;2020-01-16;89.14;22.28
443;43;184;2021-03-29;2023-04-04;105.14;26.28
444;84;185;2018-04-29;2022-01-28;195.71;48.93
445;98;379;2018-05-28;2022-12-19;238.0;59.5
446;78;119;2019-01-14;2023-03-29;219.29;54.82
447;2;91;2023-03-05;2023-03-06;0.14;0.04
448;84;357;2021-04-05;2023-05-01;108.0;27.0
450;15;128;2018-05-01;2022-03-20;202.71;50.68
451;96;160;2019-07-21;2021-05-03;93.14;23.28
452;95;339;2018-05-03;2019-10-29;77.71;19.43
