Product Progress;Logins;Start Date;Last Activity At;Days Lapsed;Months Lapsed
95;91;2018-04-30;2022-03-06;200.86;50.22
27;112;2018-04-29;2022-09-19;229.14;57.28
17;247;2020-05-19;2023-05-08;154.86;38.72
3;37;2019-01-06;2022-11-06;200.0;50.0
3;22;2018-05-09;2022-04-25;206.71;51.68
84;532;2018-04-29;2023-04-08;257.86;64.46
4;47;2018-04-30;2023-03-04;252.71;63.18
77;123;2018-12-13;2020-01-06;55.57;13.89
100;936;2018-05-07;2023-02-26;250.86;62.72
4;37;2018-05-22;2019-12-04;80.14;20.04
96;539;2018-04-29;2023-02-26;252.0;63.0
9;135;2018-05-01;2022-01-20;194.29;48.57
2;31;2020-01-11;2023-04-23;171.14;42.78
48;43;2018-05-13;2020-06-19;109.71;27.43
2;211;2018-09-23;2023-04-04;236.29;59.07
75;106;2018-09-03;2019-08-06;48.14;12.04
97;230;2018-05-23;2023-03-27;252.71;63.18
67;95;2018-05-01;2022-02-23;199.14;49.78
24;67;2021-11-08;2022-04-26;24.14;6.04
97;200;2018-05-06;2019-09-03;69.29;17.32
8;26;2019-03-05;2019-04-24;7.14;1.78
4;73;2018-04-29;2022-02-18;198.71;49.68
78;139;2018-04-30;2022-12-20;242.14;60.54
95;241;2018-04-29;2022-05-24;212.29;53.07
27;88;2018-05-07;2023-01-25;246.29;61.57
2;14;2020-04-06;2020-04-09;0.43;0.11
9;30;2019-09-09;2021-05-27;89.43;22.36
77;156;2018-11-26;2021-02-07;114.86;28.72
29;58;2019-03-18;2022-10-17;187.0;46.75
51;141;2018-05-15;2023-04-21;257.43;64.36
81;68;2019-09-01;2023-04-05;187.43;46.86
96;123;2018-04-29;2023-02-04;248.86;62.22
99;1209;2018-04-29;2023-01-13;245.71;61.43
80;80;2020-08-17;2021-05-02;36.86;9.22
82;201;2018-04-29;2023-04-06;257.57;64.39
96;774;2018-05-07;2023-05-09;261.14;65.28
79;111;2018-04-29;2023-04-11;258.29;64.57
30;143;2018-05-01;2023-04-02;256.71;64.18
91;108;2018-05-09;2019-07-17;62.0;15.5
7;222;2019-04-23;2023-03-21;204.0;51.0
54;143;2018-05-22;2023-05-09;259.0;64.75
94;144;2018-04-29;2022-09-06;227.29;56.82
37;98;2019-06-16;2022-10-31;176.14;44.04
81;242;2018-05-03;2021-03-10;148.86;37.22
35;269;2018-05-03;2023-03-13;253.57;63.39
29;67;2019-07-24;2023-03-13;189.71;47.43
75;253;2018-04-29;2023-05-16;263.29;65.82
98;348;2018-04-30;2023-02-07;249.14;62.28
15;64;2018-05-01;2022-02-23;199.14;49.78
82;878;2018-06-18;2020-04-13;95.0;23.75
29;129;2018-09-02;2022-03-03;182.57;45.64
86;193;2018-05-07;2022-05-24;211.14;52.78
36;79;2018-04-29;2018-12-21;33.71;8.43
6;142;2018-05-01;2023-05-12;262.43;65.61
4;128;2020-03-21;2023-03-28;157.43;39.36
89;720;2018-05-06;2023-05-05;260.71;65.18
96;199;2019-08-18;2023-03-31;188.71;47.18
90;217;2018-04-30;2021-09-18;176.71;44.18
1;83;2019-04-22;2020-07-02;62.43;15.61
88;207;2019-07-21;2023-04-17;195.14;48.78
28;36;2018-06-04;2020-11-10;127.14;31.78
89;78;2020-09-29;2021-05-16;32.71;8.18
72;212;2019-07-20;2023-05-14;199.14;49.78
73;76;2021-02-08;2022-10-15;87.71;21.93
96;208;2018-05-06;2022-12-02;238.71;59.68
92;74;2018-04-29;2019-12-21;85.86;21.46
18;300;2018-09-09;2019-11-01;59.71;14.93
16;64;2018-09-03;2023-01-05;226.43;56.61
61;57;2019-06-17;2020-02-08;33.71;8.43
94;120;2018-05-06;2022-12-14;240.43;60.11
18;368;2018-04-29;2023-05-16;263.29;65.82
62;165;2018-04-29;2020-08-15;119.86;29.96
3;38;2018-05-03;2020-08-26;120.86;30.22
96;194;2018-04-29;2021-09-30;178.57;44.64
57;189;2018-04-29;2021-11-07;184.0;46.0
28;90;2018-09-04;2022-04-24;189.71;47.43
97;245;2018-05-06;2021-03-13;148.86;37.22
87;807;2020-06-26;2023-05-17;150.71;37.68
13;58;2018-05-01;2021-02-21;146.71;36.68
23;188;2018-04-30;2021-03-08;149.0;37.25
67;121;2018-09-03;2022-01-05;174.29;43.57
70;141;2018-04-29;2021-04-26;156.14;39.03
16;134;2018-09-09;2022-11-02;216.43;54.11
88;212;2018-04-29;2022-11-28;239.14;59.78
82;125;2019-06-24;2023-05-15;203.0;50.75
26;101;2018-09-06;2022-10-07;213.14;53.28
40;254;2018-09-03;2023-05-16;245.14;61.28
79;229;2018-09-11;2023-05-01;241.86;60.46
88;263;2018-05-06;2021-10-14;179.57;44.89
78;105;2020-05-01;2021-01-01;35.0;8.75
84;141;2018-05-04;2023-05-17;262.71;65.68
2;70;2019-04-22;2019-10-09;24.29;6.07
14;95;2020-01-29;2022-09-23;138.29;34.57
82;429;2018-04-30;2023-05-10;262.29;65.57
1;45;2018-05-08;2018-05-17;1.29;0.32
81;180;2021-04-11;2023-04-08;103.86;25.96
15;263;2018-09-09;2023-03-04;233.86;58.46
2;43;2018-09-14;2021-03-23;131.57;32.89
75;120;2018-04-29;2019-07-16;63.29;15.82
97;131;2018-04-30;2022-02-10;197.43;49.36
92;259;2019-06-23;2020-04-13;42.14;10.54
83;143;2018-09-13;2022-12-20;222.71;55.68
5;16;2020-03-09;2021-09-21;80.14;20.04
71;290;2018-05-05;2023-04-21;258.86;64.72
80;339;2018-04-29;2023-05-02;261.29;65.32
96;139;2019-06-23;2020-06-15;51.14;12.78
54;412;2018-09-18;2023-05-13;242.57;60.64
90;451;2018-04-29;2023-03-04;252.86;63.22
7;47;2019-06-17;2019-07-06;2.71;0.68
79;145;2019-09-15;2022-11-15;165.29;41.32
30;80;2019-07-23;2021-05-11;94.0;23.5
40;91;2019-04-10;2023-01-23;197.71;49.43
96;546;2018-04-29;2023-02-12;250.0;62.5
24;48;2018-05-10;2020-11-03;129.71;32.43
47;288;2018-05-01;2022-10-31;234.86;58.72
13;22;2019-12-16;2020-01-10;3.57;0.89
74;271;2018-05-13;2023-03-24;253.71;63.43
25;89;2019-06-23;2021-04-08;93.57;23.39
30;58;2018-04-29;2019-01-21;38.14;9.54
96;141;2018-04-29;2021-12-20;190.14;47.54
55;197;2018-05-01;2022-10-14;232.43;58.11
85;72;2018-04-30;2020-04-13;102.0;25.5
18;52;2018-09-04;2020-07-03;95.43;23.86
94;225;2018-05-09;2023-05-14;261.57;65.39
15;54;2018-06-08;2020-06-03;103.71;25.93
99;231;2018-04-29;2020-05-23;107.86;26.96
94;174;2018-04-29;2023-05-16;263.29;65.82
45;160;2018-04-30;2021-07-27;169.14;42.28
3;4;2018-05-08;2018-05-31;3.29;0.82
92;323;2018-05-07;2023-05-17;262.29;65.57
47;295;2018-04-29;2023-03-02;252.57;63.14
41;436;2018-07-18;2023-03-21;243.86;60.96
29;104;2018-05-08;2021-05-06;156.29;39.07
71;186;2018-04-29;2023-03-19;255.0;63.75
62;116;2018-06-10;2023-04-29;254.86;63.72
9;36;2019-03-16;2022-01-09;147.14;36.78
86;75;2018-04-30;2021-04-02;152.57;38.14
8;151;2018-05-02;2022-06-09;214.14;53.54
38;159;2018-05-27;2023-05-17;259.43;64.86
82;85;2018-05-09;2019-06-15;57.43;14.36
49;316;2018-04-29;2023-03-17;254.71;63.68
6;22;2019-03-18;2021-12-28;145.14;36.28
19;85;2018-09-10;2022-10-30;215.86;53.96
48;158;2018-04-29;2023-03-14;254.29;63.57
92;224;2018-05-06;2019-12-15;84.0;21.0
98;274;2018-04-29;2023-02-16;250.57;62.64
71;329;2018-05-05;2023-04-27;259.71;64.93
5;55;2019-04-24;2021-03-04;97.14;24.28
88;203;2018-05-04;2022-07-04;217.43;54.36
99;152;2018-04-29;2022-04-19;207.29;51.82
15;92;2018-07-31;2020-05-26;95.0;23.75
95;147;2019-02-25;2023-03-18;211.71;52.93
75;126;2018-04-30;2019-09-29;73.86;18.46
94;233;2019-06-23;2023-04-27;200.57;50.14
48;152;2018-05-03;2023-05-01;260.57;65.14
41;170;2018-05-11;2022-02-11;196.0;49.0
75;275;2018-09-17;2021-01-10;120.86;30.22
20;422;2019-01-07;2023-05-16;227.14;56.78
79;151;2020-10-05;2023-03-29;129.29;32.32
71;627;2018-05-02;2023-05-03;261.0;65.25
52;113;2018-04-30;2023-01-01;243.86;60.96
6;44;2018-04-29;2020-05-08;105.71;26.43
92;138;2018-04-29;2021-12-17;189.71;47.43
30;30;2018-09-03;2018-11-05;9.0;2.25
88;109;2018-09-03;2019-05-30;38.43;9.61
66;190;2018-05-04;2023-03-14;253.57;63.39
65;156;2018-09-10;2021-04-15;135.43;33.86
90;142;2018-04-29;2020-10-22;129.57;32.39
96;759;2018-04-30;2023-05-06;261.71;65.43
62;225;2018-04-29;2023-05-08;262.14;65.54
20;72;2018-09-13;2019-02-28;24.0;6.0
93;125;2018-05-01;2023-03-12;253.71;63.43
47;68;2018-05-10;2020-05-03;103.43;25.86
83;82;2018-05-02;2019-07-23;63.86;15.96
73;157;2018-09-03;2022-08-13;205.71;51.43
2;100;2018-10-03;2022-01-23;172.57;43.14
86;114;2018-04-30;2019-04-09;49.14;12.28
27;374;2018-06-18;2023-05-14;255.86;63.96
93;114;2018-09-04;2023-02-26;233.71;58.43
6;17;2020-09-14;2021-03-21;26.86;6.72
23;141;2020-11-21;2022-01-29;62.0;15.5
52;109;2018-05-17;2019-07-22;61.57;15.39
17;25;2018-04-30;2019-08-28;69.29;17.32
3;82;2018-04-29;2022-04-17;207.0;51.75
9;15;2019-10-20;2020-06-10;33.43;8.36
81;322;2018-05-02;2020-05-12;105.86;26.46
60;94;2019-07-15;2021-07-11;103.86;25.96
27;176;2018-05-06;2022-10-14;231.71;57.93
87;120;2018-05-12;2019-06-09;56.14;14.04
24;200;2018-05-06;2022-01-21;193.71;48.43
4;54;2018-04-29;2022-10-18;233.29;58.32
11;75;2018-05-06;2022-09-18;228.0;57.0
49;68;2019-04-29;2022-02-22;147.14;36.78
32;111;2018-09-04;2023-05-05;243.43;60.86
95;107;2018-05-27;2020-12-03;131.57;32.89
80;219;2018-04-30;2021-03-07;148.86;37.22
69;227;2018-04-29;2023-04-14;258.71;64.68
91;449;2018-04-29;2023-05-04;261.57;65.39
24;56;2019-04-04;2020-04-22;54.86;13.72
73;221;2018-05-14;2021-04-14;152.29;38.07
40;125;2018-06-05;2019-06-16;53.71;13.43
21;65;2018-05-06;2020-11-17;132.29;33.07
60;202;2018-05-02;2020-11-24;133.86;33.47
96;225;2018-09-04;2023-02-26;233.71;58.43
81;85;2018-05-04;2019-05-09;52.86;13.22
66;272;2018-04-29;2019-12-29;87.0;21.75
54;385;2018-04-29;2018-11-16;28.71;7.18
5;119;2019-07-27;2023-05-16;198.43;49.61
78;178;2018-05-01;2023-04-16;258.71;64.68
7;128;2018-05-02;2023-05-02;260.86;65.22
51;95;2018-05-03;2022-12-05;239.57;59.89
97;118;2018-05-06;2019-05-31;55.71;13.93
1;36;2018-08-20;2018-10-01;6.0;1.5
50;129;2018-09-03;2023-03-19;236.86;59.22
81;312;2020-05-19;2023-05-13;155.57;38.89
9;94;2022-11-14;2022-12-31;6.71;1.68
87;198;2019-12-22;2023-01-02;158.14;39.53
34;104;2019-07-21;2022-12-21;178.43;44.61
14;8;2018-09-21;2019-09-11;50.71;12.68
73;160;2018-06-04;2022-05-24;207.14;51.78
55;228;2021-01-08;2023-04-15;118.14;29.54
92;413;2018-04-29;2023-04-26;260.43;65.11
95;204;2018-04-29;2023-04-27;260.57;65.14
87;395;2018-05-02;2023-03-17;254.29;63.57
86;229;2018-08-21;2021-07-10;150.57;37.64
91;104;2019-06-18;2022-12-08;181.29;45.32
47;76;2019-07-16;2022-10-24;170.86;42.72
52;581;2018-04-30;2021-09-30;178.43;44.61
96;140;2018-04-29;2021-04-30;156.71;39.18
93;122;2018-05-07;2022-10-17;232.0;58.0
10;159;2022-03-02;2023-04-26;60.0;15.0
3;45;2019-08-30;2019-09-18;2.71;0.68
32;60;2018-05-08;2021-08-10;170.0;42.5
69;699;2018-05-06;2020-04-20;102.14;25.54
32;266;2018-05-06;2023-04-13;257.57;64.39
61;93;2018-06-01;2022-01-05;187.71;46.93
26;293;2019-07-21;2023-05-04;197.57;49.39
29;59;2018-09-11;2022-04-19;188.0;47.0
20;112;2018-05-01;2022-09-09;227.43;56.86
79;173;2019-12-29;2023-03-29;169.43;42.36
84;204;2018-09-02;2023-01-18;228.43;57.11
76;522;2018-04-29;2022-08-05;222.71;55.68
2;43;2018-05-07;2021-03-15;149.0;37.25
68;136;2018-05-04;2021-03-10;148.71;37.18
5;54;2020-10-19;2023-05-06;132.71;33.18
12;48;2018-05-08;2018-06-26;7.0;1.75
15;130;2018-04-29;2018-09-10;19.14;4.78
9;64;2018-07-31;2021-04-27;143.0;35.75
94;81;2018-05-02;2020-04-28;103.86;25.96
96;127;2018-04-29;2022-09-30;230.71;57.68
26;119;2020-01-26;2022-03-04;109.71;27.43
59;107;2019-12-15;2022-03-28;119.14;29.78
51;149;2020-08-02;2023-01-08;127.0;31.75
15;38;2019-07-30;2020-03-09;31.86;7.96
87;107;2019-03-10;2023-05-02;216.29;54.07
25;182;2019-12-27;2023-04-22;173.14;43.28
34;284;2018-05-02;2023-05-17;263.0;65.75
14;53;2018-05-02;2019-07-31;65.0;16.25
95;114;2018-04-30;2019-07-07;61.86;15.46
49;99;2019-02-04;2022-10-20;193.43;48.36
92;106;2018-05-06;2022-11-20;237.0;59.25
4;20;2018-07-20;2018-07-20;0.0;0.0
26;40;2019-01-21;2020-01-05;49.86;12.46
95;165;2018-04-29;2021-04-11;154.0;38.5
89;153;2018-04-30;2021-03-27;151.71;37.93
100;367;2020-09-06;2023-05-09;139.29;34.82
95;270;2019-10-27;2023-05-16;185.29;46.32
18;181;2018-04-29;2023-05-17;263.43;65.86
92;78;2018-04-30;2022-12-16;241.57;60.39
26;49;2019-07-07;2023-05-13;200.86;50.22
3;91;2018-04-30;2023-03-29;256.29;64.07
5;32;2018-05-20;2022-01-31;193.14;48.28
38;135;2018-04-29;2019-07-29;65.14;16.28
90;265;2018-04-29;2023-03-27;256.14;64.04
8;38;2019-09-16;2022-03-10;129.43;32.36
94;488;2018-05-07;2023-05-17;262.29;65.57
77;206;2018-04-29;2023-05-11;262.57;65.64
96;196;2018-09-13;2021-09-06;155.57;38.89
70;243;2018-04-29;2022-05-02;209.14;52.28
35;47;2018-09-04;2021-12-01;169.14;42.28
24;116;2018-05-06;2023-04-07;256.71;64.18
41;49;2019-07-15;2020-07-24;53.57;13.39
95;85;2018-09-09;2019-10-21;58.14;14.54
98;320;2022-05-16;2023-04-13;47.43;11.86
75;285;2018-05-02;2021-12-22;190.0;47.5
92;59;2019-02-20;2020-04-14;59.86;14.96
39;72;2019-09-02;2020-02-25;25.14;6.28
60;217;2018-04-29;2023-03-17;254.71;63.68
14;22;2018-05-06;2020-03-26;98.57;24.64
97;283;2018-05-07;2023-04-14;257.57;64.39
23;61;2018-05-04;2022-10-13;231.86;57.96
13;56;2018-05-06;2020-04-19;102.0;25.5
23;111;2018-09-03;2021-05-02;138.86;34.72
75;133;2019-05-16;2023-03-10;199.14;49.78
12;75;2018-04-30;2020-04-19;102.86;25.72
1;7;2019-07-10;2019-10-16;14.0;3.5
13;87;2020-01-19;2022-01-26;105.43;26.36
7;16;2018-09-02;2018-09-16;2.0;0.5
57;99;2018-05-04;2018-10-03;21.71;5.43
47;73;2020-01-21;2020-09-20;34.71;8.68
13;61;2021-06-29;2023-04-26;95.14;23.78
90;181;2018-04-29;2020-09-22;125.29;31.32
10;38;2018-11-12;2020-10-05;99.0;24.75
8;45;2019-08-15;2019-09-02;2.57;0.64
10;18;2018-05-04;2021-09-29;177.71;44.43
36;123;2018-04-30;2023-04-22;259.71;64.93
41;86;2022-10-17;2023-04-26;27.29;6.82
65;221;2018-05-02;2021-06-02;161.0;40.25
30;105;2018-05-03;2023-03-24;255.14;63.78
25;74;2018-04-30;2022-08-01;222.0;55.5
9;57;2018-12-10;2019-09-10;39.14;9.78
58;128;2020-04-13;2022-12-03;137.71;34.43
98;111;2018-05-06;2019-05-31;55.71;13.93
51;60;2018-04-30;2020-04-02;100.43;25.11
52;688;2018-07-09;2023-05-16;253.14;63.28
92;270;2020-07-16;2023-05-17;147.86;36.97
21;68;2018-04-29;2022-02-15;198.29;49.57
31;72;2018-05-07;2019-01-31;38.43;9.61
51;113;2018-10-22;2019-10-01;49.14;12.28
93;214;2021-01-24;2022-07-12;76.29;19.07
91;161;2018-04-29;2020-07-14;115.29;28.82
8;40;2021-09-12;2023-05-16;87.29;21.82
58;89;2018-04-30;2019-05-11;53.71;13.43
30;43;2021-08-01;2022-05-26;42.57;10.64
52;272;2018-12-02;2023-04-24;229.14;57.28
1;48;2019-09-07;2022-11-09;165.57;41.39
22;72;2019-04-10;2023-05-11;213.14;53.28
25;77;2018-05-09;2022-09-04;225.57;56.39
52;182;2018-05-14;2022-06-19;213.86;53.46
34;283;2018-05-09;2023-05-10;261.0;65.25
71;264;2020-09-13;2023-02-04;124.86;31.22
53;132;2018-05-07;2020-11-03;130.14;32.53
98;412;2018-06-12;2023-03-11;247.57;61.89
55;159;2018-05-07;2022-05-04;208.29;52.07
7;138;2020-01-26;2023-03-10;162.71;40.68
4;23;2019-07-22;2019-07-26;0.57;0.14
68;319;2018-05-08;2023-01-06;243.43;60.86
5;53;2018-05-04;2023-05-11;261.86;65.46
30;230;2018-04-29;2023-05-17;263.43;65.86
95;603;2018-04-29;2019-10-11;75.71;18.93
12;83;2018-06-21;2022-11-02;227.86;56.96
15;161;2019-09-26;2023-04-18;185.71;46.43
10;107;2018-08-27;2023-05-03;244.29;61.07
11;42;2020-02-10;2022-07-12;126.14;31.54
87;260;2018-09-03;2022-10-03;213.0;53.25
13;89;2018-06-24;2023-05-12;254.71;63.68
50;181;2019-10-15;2021-03-28;75.71;18.93
84;420;2018-04-30;2023-05-10;262.29;65.57
75;337;2018-05-01;2023-03-03;252.43;63.11
96;178;2018-04-30;2022-10-24;234.0;58.5
99;433;2018-04-29;2022-09-15;228.57;57.14
57;72;2019-09-01;2022-12-07;170.43;42.61
80;119;2018-05-02;2020-01-16;89.14;22.28
43;184;2021-03-29;2023-04-04;105.14;26.28
84;185;2018-04-29;2022-01-28;195.71;48.93
98;379;2018-05-28;2022-12-19;238.0;59.5
78;119;2019-01-14;2023-03-29;219.29;54.82
2;91;2023-03-05;2023-03-06;0.14;0.04
84;357;2021-04-05;2023-05-01;108.0;27.0
15;128;2018-05-01;2022-03-20;202.71;50.68
96;160;2019-07-21;2021-05-03;93.14;23.28
95;339;2018-05-03;2019-10-29;77.71;19.43
13;242;2018-05-06;2023-03-03;251.71;62.93
91;123;2018-05-05;2022-12-04;239.14;59.78
8;15;2018-04-30;2018-05-28;4.0;1.0
18;53;2018-09-03;2020-12-02;117.29;29.32
97;82;2018-05-08;2020-06-04;108.29;27.07
2;21;2020-04-06;2020-05-05;4.14;1.03
92;270;2018-05-06;2023-03-04;251.86;62.96
80;148;2018-04-29;2022-01-28;195.71;48.93
53;248;2018-05-06;2021-05-13;157.57;39.39
37;107;2018-12-30;2023-04-25;225.29;56.32
19;24;2018-09-03;2018-11-20;11.14;2.78
80;169;2019-06-16;2022-11-30;180.43;45.11
93;183;2018-07-06;2023-03-15;244.71;61.18
13;26;2018-05-13;2019-02-24;41.0;10.25
54;99;2018-09-15;2023-01-18;226.57;56.64
62;190;2018-05-23;2023-04-11;254.86;63.72
98;216;2018-10-03;2023-04-25;237.86;59.46
14;37;2019-07-29;2020-12-14;72.0;18.0
22;89;2018-04-30;2023-05-02;261.14;65.28
34;180;2020-02-03;2023-03-27;164.0;41.0
71;141;2018-05-07;2023-04-18;258.14;64.54
26;137;2018-04-29;2023-02-02;248.57;62.14
92;111;2018-12-16;2023-05-01;228.14;57.04
1;41;2018-06-29;2018-09-19;11.71;2.93
62;276;2018-11-14;2023-04-13;230.14;57.54
68;135;2018-09-17;2022-12-16;221.57;55.39
31;53;2018-05-03;2020-06-05;109.14;27.28
18;24;2018-05-08;2019-08-09;65.43;16.36
29;169;2018-05-22;2023-02-20;247.86;61.96
66;139;2018-05-01;2022-10-09;231.71;57.93
67;518;2018-09-17;2023-05-13;242.71;60.68
21;51;2018-05-13;2021-07-21;166.43;41.61
14;39;2018-05-06;2018-05-26;2.86;0.72
4;28;2018-04-29;2022-03-16;202.43;50.61
25;62;2018-05-08;2023-04-26;259.14;64.78
29;128;2018-05-29;2019-04-04;44.29;11.07
9;35;2018-05-04;2022-11-23;237.71;59.43
87;290;2018-04-29;2023-05-01;261.14;65.28
5;19;2019-08-17;2019-12-26;18.71;4.68
23;79;2018-04-29;2021-10-04;179.14;44.78
18;30;2018-05-01;2018-09-13;19.29;4.82
85;71;2018-05-06;2018-11-30;29.71;7.43
22;116;2019-12-01;2021-12-08;105.43;26.36
12;67;2018-06-01;2022-10-09;227.29;56.82
32;32;2018-05-08;2022-12-09;239.43;59.86
31;48;2018-04-30;2019-07-24;64.29;16.07
97;456;2018-04-30;2019-07-24;64.29;16.07
25;131;2019-06-30;2022-12-30;182.71;45.68
52;68;2018-05-02;2018-11-18;28.57;7.14
88;597;2018-09-02;2023-05-13;244.86;61.22
93;80;2018-05-06;2019-07-26;63.71;15.93
63;140;2018-04-30;2020-05-02;104.71;26.18
5;90;2018-07-09;2021-10-13;170.29;42.57
7;23;2018-07-01;2018-08-05;5.0;1.25
15;189;2018-05-14;2021-08-24;171.14;42.78
96;95;2018-04-29;2021-01-22;142.71;35.68
30;90;2018-04-29;2021-12-05;188.0;47.0
44;68;2018-05-15;2021-12-02;185.29;46.32
41;157;2018-11-27;2023-04-12;228.14;57.04
33;190;2019-05-07;2023-04-22;206.57;51.64
88;119;2018-09-03;2022-08-27;207.71;51.93
83;109;2018-09-03;2020-02-06;74.43;18.61
14;39;2018-09-10;2019-03-03;24.86;6.22
28;110;2019-01-16;2022-03-14;164.71;41.18
1;8;2018-06-09;2018-07-30;7.29;1.82
93;310;2019-06-23;2023-04-02;197.0;49.25
5;464;2019-09-04;2023-05-11;192.14;48.04
66;88;2018-05-07;2020-01-02;86.43;21.61
7;99;2018-09-03;2023-01-09;227.0;56.75
2;1;2018-04-22;2018-04-22;0.0;0.0
7;16;2018-04-29;2019-08-22;68.57;17.14
70;49;2018-04-30;2021-04-06;153.14;38.28
59;151;2018-04-29;2021-02-17;146.43;36.61
91;171;2018-04-29;2020-05-20;107.43;26.86
40;80;2018-04-29;2021-07-06;166.29;41.57
11;24;2018-04-30;2018-05-31;4.43;1.11
24;442;2018-05-02;2019-04-24;51.0;12.75
52;51;2018-04-29;2020-01-25;90.86;22.72
34;143;2018-05-03;2023-04-12;257.86;64.46
62;202;2018-04-29;2023-04-22;259.86;64.96
96;148;2018-04-29;2022-10-11;232.29;58.07
62;108;2018-04-29;2020-08-26;121.43;30.36
18;21;2018-04-30;2018-11-18;28.86;7.22
60;118;2018-04-29;2023-04-21;259.71;64.93
73;33;2018-05-01;2019-08-01;65.29;16.32
47;28;2018-04-30;2020-07-29;117.29;29.32
73;62;2018-05-01;2018-10-30;26.0;6.5
93;93;2018-04-30;2023-04-17;259.0;64.75
12;39;2018-05-01;2022-10-02;230.71;57.68
96;149;2018-04-29;2019-07-31;65.43;16.36
13;23;2018-04-30;2019-08-17;67.71;16.93
69;90;2018-04-29;2021-03-26;151.71;37.93
46;67;2018-05-05;2018-11-19;28.29;7.07
14;36;2018-04-29;2023-03-23;255.57;63.89
69;340;2018-04-29;2023-03-06;253.14;63.28
61;93;2018-05-02;2020-05-02;104.43;26.11
14;33;2018-04-30;2021-10-10;179.86;44.96
100;244;2018-04-29;2022-04-30;208.86;52.22
44;73;2018-04-29;2022-08-01;222.14;55.54
22;27;2018-05-01;2023-01-03;244.0;61.0
61;95;2018-05-01;2023-05-09;262.0;65.5
59;65;2018-04-29;2021-07-06;166.29;41.57
82;307;2018-04-29;2023-05-01;261.14;65.28
99;131;2018-04-29;2020-12-13;137.0;34.25
65;164;2018-04-30;2023-04-18;259.14;64.78
55;131;2018-04-30;2021-11-29;187.0;46.75
28;45;2018-04-30;2022-02-08;197.14;49.28
3;14;2018-05-24;2022-02-27;196.43;49.11
96;61;2018-04-30;2022-03-20;202.86;50.72
7;11;2018-04-30;2018-05-06;0.86;0.22
47;84;2018-04-29;2023-04-12;258.43;64.61
45;59;2018-05-03;2023-05-15;262.57;65.64
99;284;2018-04-29;2020-10-20;129.29;32.32
69;52;2018-05-06;2022-02-05;195.86;48.96
4;17;2018-04-29;2018-10-18;24.57;6.14
94;96;2018-04-29;2020-02-04;92.29;23.07
98;155;2018-04-29;2022-08-31;226.43;56.61
93;228;2018-04-29;2022-08-31;226.43;56.61
97;35;2018-04-30;2022-04-16;206.71;51.68
74;186;2018-05-02;2023-05-03;261.0;65.25
